FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2019 ORDINANCE (AMOUNT $)
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPLIES,500.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,202214.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,123,SERVICES BY PERFORMERS / EXHIBITORS,86250.00
GRANTS,0V91,TRANSIT SECURITY,57,CPD,2921,TRANSIT SECURITY,6,SALARY PROVISION,6613395.00
GRANTS,0Y19,CHICAGO DOMESTIC VIOLENCE HELP LINE - M,50,DFSS,2923,CHICAGO DOM VIOLENCE HELP LINE,140,PROFESSIONAL AND TECHNICAL SERVICES,152000.00
CDBG,0J45,CDBG,50,DFSS,2510,HUMAN SERVICES,5,SALARIES AND WAGES - ON PAYROLL,78828.00
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,5,SALARIES AND WAGES - ON PAYROLL,56271703.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1200.00
GRANTS,0T81,EARLY HEAD START - CHILD PARTNERSHIP,50,DFSS,2956,EHS - Child Care Partnership,166,DUES  SUBSC & MEM,372530.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,2757.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,140,PROFESSIONAL AND TECHNICAL SERVICES,906388.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,159,LEASE/PURCHASE EQUIPMENT,45457.00
LOCAL,0100,CORPORATE FUND,60,COPA,2005,COPA,169,TECHNICAL MEETING COSTS,149300.00
GRANTS,0Y35,EARLY CHILDHOOD BLOCK GRANT,50,DFSS,2962,Early Childhood Block Grant,44,FRINGE BENEFITS,581133.00
LOCAL,0100,CORPORATE FUND,21,HOUSING,2010,Department of Housing,5,SALARIES AND WAGES - ON PAYROLL,1382165.00
CDBG,0J45,CDBG,50,DFSS,2501,PLANNING AND ADMINISTRATION,5,SALARIES AND WAGES - ON PAYROLL,290173.00
GRANTS,0Y02,STATE FOSTER GRANDPARENTS,50,DFSS,2818,STATE FOSTER GRANDPARENTS,140,PROFESSIONAL AND TECHNICAL SERVICES,8864.00
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,340,MATERIAL AND SUPPLIES,500.00
LOCAL,0300,VEHICLE FUND,81,DSS,2020,BUREAU OF SANITATION,12,CONTRACT WAGE - PREVAILING RATE,48640.00
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,140,PROFESSIONAL AND TECHNICAL SERVICES,75000.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,169,TECHNICAL MEETING COSTS,4600.00
GRANTS,0Y23,AREA PLAN ON AGING,50,DFSS,2903,AREA PLAN ON AGING - STATE,44,FRINGE BENEFITS,593972.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,190,TELEPHONE - NON-CENTREX BILLINGS,249000.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,5,SALARIES AND WAGES - ON PAYROLL,1535602.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,168,EDUCATION DEVELOPMENT,222600.00
GRANTS,0V61,URBAN AREA SECURITY INITIATIVE,58,OEMC,2811,URBAN AREA SECURITY INITIATIVE,5,SALARIES AND WAGES - ON PAYROLL,3376765.00
GRANTS,0U25,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,360,REPAIR PARTS AND MATERIAL,2225.00
LOCAL,0740,O HARE REVENUE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,39,STUDENT AS TRAINEES,7500.00
CDBG,0J45,CDBG,27,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,149,SOFTWARE MAINTENANCE AND LICENSING,37500.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,20,OVERTIME,148775.00
LOCAL,0300,VEHICLE FUND,25,CITY CLERK,2005,CITY CLERK,197,TELEPHONE - MAINTENANCE,2960.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,15,SCHEDULE SALARY ADJUSTMENTS,5407.00
LOCAL,0100,CORPORATE FUND,78,ETHICS,2005,BOARD OF ETHICS,169,TECHNICAL MEETING COSTS,1180.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,1357879.00
CDBG,0J45,CDBG,50,DFSS,2501,PLANNING AND ADMINISTRATION,157,RENTAL EQUIPMENT AND SERVICES,200.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,20,OVERTIME,188015.00
LOCAL,0300,VEHICLE FUND,25,CITY CLERK,2005,CITY CLERK,157,RENTAL EQUIPMENT AND SERVICES,74200.00
GRANTS,0Z63,NEA - OUR TOWN PROGRAM - MATCH,23,DCASE,2872,NEA - Our Town Program,140,PROFESSIONAL AND TECHNICAL SERVICES,50000.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,1050.00
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,11,CONTRACT WAGE - SALARY,7514.00
LOCAL,0200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,9438,REIMBURSEMENT - 2FM,30000.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,360,REPAIR PARTS AND MATERIAL,2093.00
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,181,MOBILE COMMUNICATION SERVICES,11589.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,169,TECHNICAL MEETING COSTS,600.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,149,SOFTWARE MAINTENANCE AND LICENSING,5000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,363,STRUCTURAL STEELS  IRON  OTHER MATERIALS,270.00
GRANTS,0X99,RESILIENCY IN COMMUNITIES,41,HEALTH,280P,Resiliency in Communities,5,SALARIES AND WAGES - ON PAYROLL,158822.00
GRANTS,0U74,WOMEN INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,150,PUBLICATN & REPRODT-OUT,5733.00
GRANTS,0W25,NEW FREEDOM PROGRAM,84,CDOT,280N,New Freedom Program,540,CONSTRUCTION OF BUILDINGS AND STRUCTURES,1772000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,0,PERSONNEL SERVICES,128220.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,15,SCHEDULE SALARY ADJUSTMENTS,818.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,143,COURT REPORTING,65001.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,300,COMMODITIES AND MATERIALS,500.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,931,TORT/NON-TORT JUDGMENT,250000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,229,TRANSPORTATION AND EXPENSE ALLOWANCE,18500.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,142,ACCOUNTING AND AUDITING,75000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2006,ADMINISTRATIVE SERV DIVISION,20,OVERTIME,1000.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,20,OVERTIME,499800.00
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,15,SCHEDULE SALARY ADJUSTMENTS,10244.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,190,TELEPHONE - NON-CENTREX BILLINGS,92000.00
GRANTS,0U60,HOPWA,41,HEALTH,2932,HOPWA,190,TELEPHONE - NON-CENTREX BILLINGS,1244.00
LOCAL,0200,WATER FUND,38,FFM,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,104469.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,152,ADVERTISING,312000.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,149,SOFTWARE MAINTENANCE AND LICENSING,432441.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2505,EDUCATION  OUTREACH AND INTERG,130,POSTAGE,1800.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,181,MOBILE COMMUNICATION SERVICES,7900.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,149,SOFTWARE MAINTENANCE AND LICENSING,748900.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,270,LOCAL TRANSPORTATION,100.00
GRANTS,0P87,PUBLIC SAFETY PRIVATE SUPPORT,57,CPD,2854,PUBLIC SAFETY,140,PROFESSIONAL AND TECHNICAL SERVICES,11000000.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,145,LEGAL EXPENSES,5518.00
CDBG,0J45,CDBG,41,HEALTH,2555,LEAD POISONING PREVENTION,44,FRINGE BENEFITS,981245.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9645,REIMB - INDIRECT PENSION TO CORPORATE,16938000.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,160,REPAIR/MAINT PROPERTY,2150000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2145,PROJECT DEVELOPMENT,150,PUBLICATN & REPRODT-OUT,950.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,100,CONTRACTUAL SERVICES,1000.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,229,TRANSPORTATION AND EXPENSE ALLOWANCE,1500.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,39,STUDENT AS TRAINEES,10000.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,11,CONTRACT WAGE - SALARY,250997.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,20,OVERTIME,76850.00
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,21,SWORN/CIVILIAN HOLIDAY PREMIUM PAY,1225000.00
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,162,REPAIR/MAINT EQUIPMENT,41378.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,140,PROFESSIONAL AND TECHNICAL SERVICES,26855.00
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,162,REPAIR/MAINT EQUIPMENT,775.00
CDBG,0J45,CDBG,21,HOUSING,2560,Homeownership Services,44,FRINGE BENEFITS,27486.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,166,DUES  SUBSC & MEM,350.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,362,PAINTS AND PAINTING SUPPLIES,40000.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,9067,PHYSICAL EXAMS,1667870.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,319,CLOTHING,10000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,172447.00
GRANTS,0T92,OAA TITLE V SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,50,STIPENDS,109950.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,121,INVESTIGATION COSTS-COMMITTEE ON FINANCE,103000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,2490346.00
LOCAL,0314,SEWER FUND,88,DWM,2015,ENGINEERING SERVICES,150,PUBLICATN & REPRODT-OUT,2000.00
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,15,SCHEDULE SALARY ADJUSTMENTS,2780.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,348,BOOKS AND RELATED MATERIAL,350.00
LOCAL,0100,CORPORATE FUND,60,COPA,2005,COPA,197,TELEPHONE - MAINTENANCE,160.00
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,340,MATERIAL AND SUPPLIES,2250.00
LOCAL,0300,VEHICLE FUND,67,BUILDINGS,2005,BUILDINGS,15,SCHEDULE SALARY ADJUSTMENTS,5328.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,197,TELEPHONE - MAINTENANCE,7000.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,140,PROFESSIONAL AND TECHNICAL SERVICES,843424.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLOYMENT INSURANCE CLAIM,93185.00
LOCAL,0200,WATER FUND,88,DWM,2005,COMMISSIONER'S OFFICE,348,BOOKS AND RELATED MATERIAL,500.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,130,POSTAGE,500.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,159,LEASE/PURCHASE EQUIPMENT,45000.00
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2800,AMPLIFIED PHONES PROGRAM,330,FOOD,10000.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,150,PUBLICATN & REPRODT-OUT,2850.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,12,CONTRACT WAGE - PREVAILING RATE,340177.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9981,LABORERS' FUND PENSION ALLOCATION,3899000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,9438,REIMBURSEMENT - 2FM,86250.00
GRANTS,0X61,BIOTERRORISM PREPAREDNESS RESPONSE PLANN,41,HEALTH,2829,BIOTERRORISM RESPONSE,44,FRINGE BENEFITS,1405610.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,20,OVERTIME,24700.00
LOCAL,0740,O HARE REVENUE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,190,TELEPHONE - NON-CENTREX BILLINGS,1000.00
GRANTS,0V67,FIRE ACADEMY TRAINING AND IMPROVEMENT,59,CFD,2810,FIRE ACAD TRNG/IMPROVEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,2802000.00
LOCAL,0100,CORPORATE FUND,21,HOUSING,2010,Department of Housing,9211,SINGLE-FAMILY TROUBLED BUILDING INITIATI,75000.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,140,PROFESSIONAL AND TECHNICAL SERVICES,36961.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,140,PROFESSIONAL AND TECHNICAL SERVICES,5500.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,141,APPRAISALS,200.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,8759.00
CDBG,0J45,CDBG,50,DFSS,2515,HOMELESS SERVICES,12,CONTRACT WAGE - PREVAILING RATE,495.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9005,LEGAL FEES - COMMITTE ON FINANCE,50000.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,7854.00
LOCAL,0200,WATER FUND,67,BUILDINGS,2005,BUILDINGS,15,SCHEDULE SALARY ADJUSTMENTS,1694.00
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,159,LEASE/PURCHASE EQUIPMENT,10980.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,2476858.00
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,340,MATERIAL AND SUPPLIES,11312.00
LOCAL,0610,MIDWAY AIRPORT FUND,28,TREASURER,2005,CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,203225.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE - MAINTENANCE,1760.00
CDBG,0J45,CDBG,27,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,44,FRINGE BENEFITS,218795.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,142,ACCOUNTING AND AUDITING,583658.00
CDBG,0J45,CDBG,21,HOUSING,2556,Developer Services,340,MATERIAL AND SUPPLIES,1800.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,5,SALARIES AND WAGES - ON PAYROLL,1435281.00
GRANTS,0Y35,EARLY CHILDHOOD BLOCK GRANT,50,DFSS,2962,Early Childhood Block Grant,140,PROFESSIONAL AND TECHNICAL SERVICES,1813735.00
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,169,TECHNICAL MEETING COSTS,1000.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,60,SPECIALTY PAY,15000000.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,245,REIMBURSEMENT TO TRAVELERS,5400.00
GRANTS,0Z40,WORK INCENTIVE PLANNNING,48,MOPD,2812,WORK INCENTIVE PLANNING,44,FRINGE BENEFITS,58767.00
GRANTS,0V13,NAT. EXPLOSIVES DETECT. CANINE,57,CPD,2882,NAT. EXPLOSIVES DETECT. CANINE,330,FOOD,13000.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,39,STUDENT AS TRAINEES,422.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,340,MATERIAL AND SUPPLIES,5367555.00
LOCAL,0100,CORPORATE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,319,CLOTHING,7725.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,4738859.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,361,BUILDING MATERIALS AND SUPPLIES,1312.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,8662333.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,245,REIMBURSEMENT TO TRAVELERS,50.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,423,COMMUNICATION DEVICES,1599200.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,5447.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,700,CONTINGENCIES,15000.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,164,BOOKBINDING,56107.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,196,DATA CIRCUITS,10100.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,937,HOSPITAL//MEDICAL - NOT WORKERS' COMP,157500.00
GRANTS,0T88,LONG TERM CARE SYSTEM DEVELOPMENT,50,DFSS,2820,LONGTERM CARE SYSTEM DEVELOP,801,INDIRECT COSTS,1574.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,28,COOPERATIVE EDUCATION PROGRAM,4525318.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,143,COURT REPORTING,72000.00
GRANTS,0K73,HOME PROGRAM,21,HOUSING,2833,Home Investment Partnership,9103,REHABILITATION LOANS GT,3135000.00
GRANTS,0W21,UNIFORM WORK PROGRAM,84,CDOT,280H,Uniform Work Program,5,SALARIES AND WAGES - ON PAYROLL,229449.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,364,PLUMBING SUPPLIES,2000.00
LOCAL,0300,VEHICLE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,159,LEASE/PURCHASE EQUIPMENT,1000.00
LOCAL,0200,WATER FUND,88,DWM,2010,ADMINISTRATIVE SUPPORT,350,STATIONERY AND OFFICE SUPPLIES,31600.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,65.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,440,MACHINERY AND EQUIPMENT,24600.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,270,LOCAL TRANSPORTATION,2466.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,245,REIMBURSEMENT TO TRAVELERS,1200.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,189,TELEPHONE - NON-CENTREX BILLINGS,2500.00
GRANTS,0X99,RESILIENCY IN COMMUNITIES,41,HEALTH,280P,Resiliency in Communities,44,FRINGE BENEFITS,65314.00
GRANTS,0U60,HOPWA,41,HEALTH,2932,HOPWA,44,FRINGE BENEFITS,113748.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,39,STUDENT AS TRAINEES,10000.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,2100.00
GRANTS,0V93,IDOT SUSTAINED TRAFFIC ENFORCEMENT PGM,57,CPD,2968,IDOT SUSTAINED TRAFFIC ENFORCE,140,PROFESSIONAL AND TECHNICAL SERVICES,376000.00
GRANTS,0Y14,OAA TITLE V SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,6,SALARY PROVISION,130000.00
GRANTS,0V91,TRANSIT SECURITY,57,CPD,2921,TRANSIT SECURITY,445,TECHNICAL AND SCIENTIFIC EQUIPMENT,80000.00
GRANTS,0V86,LOCAL LAW ENFORCEMENT CRIME GUN INTEL,57,CPD,280R,Gun Intelligence Integration,245,REIMBURSEMENT TO TRAVELERS,10000.00
GRANTS,0Y12,EMERGENCY AND TRANSITIONAL HOUSING,50,DFSS,2942,Emergency /Transitional Housng,15,SCHEDULE SALARY ADJUSTMENTS,2544.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,91,UNIFORM ALLOWANCE,9000.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2510,FAIR HOUSING,9438,REIMBURSEMENT - 2FM,17250.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,13755.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,24,COMPENSATORY TIME PAYMENT,70000.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,200.00
CDBG,0J45,CDBG,41,HEALTH,2565,VIOLENCE PREVENTION PROGRAM,135,DELEGATE AGENCIES,500000.00
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,1378016.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,154,RENTAL-DATA HARDWARE EQ,2200.00
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,169,TECHNICAL MEETING COSTS,2500.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,125,OFFICE AND BUILDING SERVICES,25000.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,140,PROFESSIONAL AND TECHNICAL SERVICES,10000.00
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,159,LEASE/PURCHASE EQUIPMENT,215028.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,340,MATERIAL AND SUPPLIES,20316.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,229,TRANSPORTATION AND EXPENSE ALLOWANCE,85000.00
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,28,COOPERATIVE EDUCATION PROGRAM,236664.00
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,350,STATIONERY AND OFFICE SUPPLIES,19385.00
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,345,APPARATUS AND INSTRUMENTS,348000.00
LOCAL,0549,CITY COL RED/INT-D,99,FINANCE GENERAL,2005,FINANCE GENERAL,960,LOSS IN COLLECTION OF TAXES,1461000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,181,MOBILE COMMUNICATION SERVICES,12000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,15,SCHEDULE SALARY ADJUSTMENTS,32188.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,5,SALARIES AND WAGES - ON PAYROLL,54781875.00
